Availability,Residence Type,Price(in Lakhs),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Apartment,118.00341,2037,5793,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,92.5131,1695,5458,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,57.5608,1240,4642,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,43.29,1110,3900,Ready to move,Sarjapur,Bangalore
4 BHK,Apartment,1166.6396,5180,22522,Ready to move,Frazer Town,Bangalore
2 BHK,Apartment,41.9991,726,5785,Under Construction,Kumbalgodu,Bangalore
Residential Plot,Residential,32.3,2000,1615,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,33.0,1500,2200,New,Anekal City,Bangalore
3 BHK,Apartment,133.46253,1641,8133,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,55.38159,957,5787,Ready to move,Begur,Bangalore
Residential Plot,Residential,59.985,1500,3999,New,Devanahalli,Bangalore
3 BHK,Apartment,89.35542,2079,4298,Ready to move,Hoskote,Bangalore
4 BHK,Apartment,215.61365,2135,10099,Under Construction,Whitefield Hope Farm Junction,Bangalore
Residential Plot,Residential,36.0,1500,2400,New,Bidadi,Bangalore
4 BHK,Apartment,340.98906,3067,11118,Ready to move,Hebbal,Bangalore
2 BHK,Apartment,52.46368,1072,4894,Under Construction,Devanahalli,Bangalore
3 BHK,Apartment,133.61257,1769,7553,Under Construction,Hebbal,Bangalore
Residential Plot,Residential,37.35,1500,2490,New,Anekal City,Bangalore
2 BHK,Apartment,55.8,1240,4500,Under Construction,Volagerekallahalli,Bangalore
3 BHK,Apartment,50.652,1206,4200,Under Construction,Chandapura,Bangalore
3 BHK,Apartment,91.8308,1405,6536,Ready to move,Kasavanahalli,Bangalore
3 BHK,Apartment,155.92873,1679,9287,Under Construction,Krishnarajapura,Bangalore
4 BHK,Villa,222.97254,3054,7301,Under Construction,Sarjapur,Bangalore
3 BHK,Apartment,141.61028,1708,8291,Ready to move,Gunjur,Bangalore
3 BHK,Apartment,142.86828,1604,8907,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,73.7856,1440,5124,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,133.55205,1605,8321,Under Construction,Jalahalli,Bangalore
4 BHK,Villa,403.64145,4815,8383,Under Construction,Sarjapur,Bangalore
1 BHK,Apartment,31.5001,590,5339,Under Construction,Kengeri,Bangalore
2 BHK,Apartment,34.00848,1017,3344,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,41.9862,580,7239,Under Construction,Bagalur,Bangalore
Residential Plot,Residential,32.472,984,3300,New,Doddaballapur,Bangalore
2 BHK,Apartment,75.746,1252,6050,Ready to move,Whitefield Hope Farm Junction,Bangalore
2 BHK,Villa,39.496,800,4937,Under Construction,Anekal City,Bangalore
3 BHK,Apartment,118.99855,2045,5819,Under Construction,Krishnarajapura,Bangalore
2 BHK,Apartment,69.27676,1234,5614,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,66.80235,1445,4623,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,39.0,1000,3900,Ready to move,Sarjapur,Bangalore
4 BHK,Apartment,768.16152,3633,21144,Ready to move,Frazer Town,Bangalore
2 BHK,Apartment,41.99832,728,5769,Under Construction,Kumbalgodu,Bangalore
Residential Plot,Residential,32.3,2000,1615,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,52.8,2400,2200,New,Anekal City,Bangalore
3 BHK,Apartment,133.46253,1641,8133,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,56.8174,983,5780,Ready to move,Begur,Bangalore
Residential Plot,Residential,59.985,1500,3999,New,Devanahalli,Bangalore
3 BHK,Apartment,89.35542,2079,4298,Ready to move,Hoskote,Bangalore
4 BHK,Apartment,215.61365,2135,10099,Under Construction,Whitefield Hope Farm Junction,Bangalore
Residential Plot,Residential,62.256,2400,2594,New,Bidadi,Bangalore
3 BHK,Apartment,309.9984,2620,11832,Ready to move,Hebbal,Bangalore
